name,badge,discount,price,old_price,product_url,Link
BULLPADEL VERTEX 04,,43,169.95,299.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-110865-p,Clickme
BULLPADEL VERTEX 04 COMFORT,,41,129.95,219.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-comfort-110866-p,Clickme
BULLPADEL VERTEX 04 HYBRID 25,,26,229.95,309.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-hybrid-25-113773-p,Clickme
BULLPADEL RAIDER POWER BLUE,,45,54.95,99.95,https://www.padelnuestro.com/int/bullpadel-raider-power-blue-26104-p,Clickme
BULLPADEL HACK 04 2025 - PAQUITO NAVARRO,,18,244.95,299.95,https://www.padelnuestro.com/int/bullpadel-hack-04-25-113754-p,Clickme
BULLPADEL VERTEX 04 HYBRID,,43,169.95,299.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-hybrid-110867-p,Clickme
BULLPADEL VERTEX 03 COMFORT 2023,,55,109.95,244.95,https://www.padelnuestro.com/int/bullpadel-vertex-03-comfort-2023-32426-p,Clickme
BULLPADEL PEARL BEA GONZALEZ 2024,,40,164.95,272.95,https://www.padelnuestro.com/int/bullpadel-pearl-bea-gonzalez-2024-112922-p,Clickme
BULLPADEL VERTEX 04 JR 2025,,28,64.95,89.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-jr-2025,Clickme
BULLPADEL BP10 EVO 2025,,25,89.95,119.95,https://www.padelnuestro.com/int/bullpadel-bp10-evo-2025,Clickme
BULLPADEL XPLO PREMIER 2025,,10,284.95,314.95,https://www.padelnuestro.com/int/bullpadel-xplo-premier-2025,Clickme
BULLPADEL GOLD XSERIES 3.0,Exclusive,75,59.95,239.96,https://www.padelnuestro.com/int/bullpadel-gold-xseries-3-0-24563-p,Clickme
BULLPADEL IONIC CONTROL 2025,,25,134.95,179.95,https://www.padelnuestro.com/int/bullpadel-ionic-control-2025,Clickme
BULLPADEL INDIGA POWER 2025,,19,64.95,79.95,https://www.padelnuestro.com/int/bullpadel-indiga-power-2025,Clickme
BULLPADEL VERTEX W JR 2025,,28,64.95,89.95,https://www.padelnuestro.com/int/bullpadel-vertex-w-jr-2025,Clickme
BULLPADEL IONIC POWER 2025,,25,134.95,179.95,https://www.padelnuestro.com/int/bullpadel-ionic-power-2025,Clickme
BULLPADEL ICON 2025,,18,244.95,299.95,https://www.padelnuestro.com/int/bullpadel-icon-2025,Clickme
BULLPADEL HACK JUNIOR 2025,,28,64.95,89.95,https://www.padelnuestro.com/int/bullpadel-hack-junior-2025,Clickme
BULLPADEL VERTEX BOY JUNIOR 2023,,44,49.95,89.99,https://www.padelnuestro.com/int/bullpadel-vertex-boy-junior-2023-32441-p,Clickme
BULLPADEL ELITE LIGHT W WOMEN 2023,,57,79.95,184.95,https://www.padelnuestro.com/int/bullpadel-elite-light-w-women-2023-32433-p,Clickme
BULLPADEL VERTEX 04 25 WOMEN'S,,20,194.95,244.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-25-women-s-113774-p,Clickme
BULLPADEL IONIC CONTROL 2023,,55,99.95,219.95,https://www.padelnuestro.com/int/bullpadel-ionic-control-2023-32431-p,Clickme
BULLPADEL XPLO COMFORT 25,,25,169.95,227.95,https://www.padelnuestro.com/int/bullpadel-xplo-comfort-25-113778-p,Clickme
BULLPADEL HACK 04 HYBRID 25,,20,239.95,299.95,https://www.padelnuestro.com/int/bullpadel-hack-04-hybrid-25-113755-p,Clickme
BULLPADEL NEURON 25,,14,249.95,289.95,https://www.padelnuestro.com/int/bullpadel-neuron-25-113768-p,Clickme
BULLPADEL ELITE W 25 WOMEN'S,,10,244.95,272.95,https://www.padelnuestro.com/int/bullpadel-elite-w-25-women-s-113751-p,Clickme
BULLPADEL FLOW 25 WOMAN,,22,189.95,244.95,https://www.padelnuestro.com/int/bullpadel-flow-25-woman-113753-p,Clickme
BULLPADEL HACK 02 PRF 2024,,43,79.95,139.95,https://www.padelnuestro.com/int/bullpadel-hack-02-prf-2024-110909-p,Clickme
BULLPADEL K2 POWER 2023,,40,59.95,99.95,https://www.padelnuestro.com/int/bullpadel-k2-power-2023-32434-p,Clickme
BULLPADEL VERTEX 03 W WOMEN'S 2023,,71,74.95,259.95,https://www.padelnuestro.com/int/bullpadel-vertex-03-w-women-s-2023-32427-p,Clickme
BULLPADEL ELITE W MASTER FINAL 2022,Out of stock,50,169.95,339.95,https://www.padelnuestro.com/int/bullpadel-elite-w-master-final-2022-32446-p,Clickme
BULLPADEL HACK 03 CONTROL 2022,Out of stock,65,114.95,324.95,https://www.padelnuestro.com/int/bullpadel-hack-03-control-2022-26107-p,Clickme
BULLPADEL NEURON TF 2024,Out of stock,50,199.95,399.95,https://www.padelnuestro.com/int/bullpadel-neuron-tf-2024,Clickme
BULLPADEL FLOW WOMAN,Out of stock,57,99.95,235,https://www.padelnuestro.com/int/bullpadel-flow-woman,Clickme
BULLPADEL VERTEX 04 TF 2024,Out of stock,46,214.95,399.99,https://www.padelnuestro.com/int/bullpadel-vertex-04-tf-2024,Clickme
BULLPADEL AXYM DB 2022,Out of stock,61,69.95,179.95,https://www.padelnuestro.com/int/bullpadel-axym-db-2022-26116-p,Clickme
BULLPADEL IONIC LIGHT TF 2024,Out of stock,33,159.95,239.95,https://www.padelnuestro.com/int/bullpadel-ionic-light-tf-2024,Clickme
BULLPADEL HACK 04 TF 2024,Out of stock,46,214.95,399.95,https://www.padelnuestro.com/int/bullpadel-hack-04-tf-2024,Clickme
BULLPADEL ELITE TF 24,Out of stock,46,161.95,300,https://www.padelnuestro.com/int/bullpadel-elite-tf-24,Clickme
BULLPADEL VERTEX 03 COMFORT 2022,Out of stock,51,109.95,224.95,https://www.padelnuestro.com/int/bullpadel-vertex-03-comfort-2022-26113-p,Clickme
BULLPADEL LEGEND 4.0 WOMAN,Out of stock,65,69.95,199.95,https://www.padelnuestro.com/int/bullpadel-legend-4-0-woman-26842-p,Clickme
BULLPADEL VERTEX 03 WOMAN 2022,Out of stock,56,99.95,224.95,https://www.padelnuestro.com/int/bullpadel-vertex-03-woman-2022-26111-p,Clickme
BULLPADEL VERTEX 03 2023,Out of stock,57,149.95,349.95,https://www.padelnuestro.com/int/bullpadel-vertex-03-2023-32424-p,Clickme
PACK BULLPADEL VERTEX04 MANTÍN DI NENNO 2024,Out of stock,0,199.95,,https://www.padelnuestro.com/int/pack-bullpadel-vertex04-mantin-di-nenno-2024,Clickme
BULLPADEL INDIGA CONTROL 2025,Out of stock,6,74.95,79.94,https://www.padelnuestro.com/int/bullpadel-indiga-control-2025,Clickme
BULLPADEL VERTEX 04 W PREMIER 2025,,10,224.95,249.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-w-premier-2025,Clickme
BULLPADEL HACK 04 PREMIER 2025,,6,294.95,314.95,https://www.padelnuestro.com/int/bullpadel-hack-04-premier-2025,Clickme
Bullpadel Vertex 04 Master Final 2023,Out of stock,46,189.95,349.94,https://www.padelnuestro.com/int/bullpadel-vertex-04-master-final-2023-111380-p,Clickme
Bullpadel Hack 03 Master Final 23,Out of stock,49,178.95,349.94,https://www.padelnuestro.com/int/bullpadel-hack-03-master-final-23-111378-p,Clickme
BULLPADEL INDIGA GIRL 2025,Out of stock,0,59.95,,https://www.padelnuestro.com/int/bullpadel-indiga-girl-2025,Clickme
BULLPADEL VERTEX 04 W TF 2024 WOMAN,Out of stock,33,199.95,300,https://www.padelnuestro.com/int/bullpadel-vertex-04-w-tf-2024-mujer,Clickme
BULLPADEL HACK 03 HYBRID 24,Out of stock,45,159.95,289.95,https://www.padelnuestro.com/int/bullpadel-hack-03-hybrid-24-110863-p,Clickme
BULLPADEL K2 POWER 2025,Out of stock,25,74.95,99.95,https://www.padelnuestro.com/int/bullpadel-k2-power-2025,Clickme
BULLPADEL IONIC LIGHT 2025,Out of stock,27,109.95,149.96,https://www.padelnuestro.com/int/bullpadel-ionic-light-2025,Clickme
BULLPADEL INDIGA W 2025 WOMEN'S,Out of stock,19,64.95,79.94,https://www.padelnuestro.com/int/bullpadel-indiga-w-2025-women-s,Clickme
BULLPADEL INDIGA BOY 2025,Out of stock,0,59.95,,https://www.padelnuestro.com/int/bullpadel-indiga-boy-2025,Clickme
BULLPADEL FLOW LIGHT 2025,Out of stock,28,89.95,124.94,https://www.padelnuestro.com/int/bullpadel-flow-light-2025,Clickme
BULLPADEL AXYM DB 2023,Out of stock,60,79.95,199.95,https://www.padelnuestro.com/int/bullpadel-axym-db-2023-32432-p,Clickme
BULLPADEL INDIGA POWER 2022 PADEL RACKET,Out of stock,38,49.95,79.95,https://www.padelnuestro.com/int/bullpadel-indiga-power-2022-padel-racket-26122-p,Clickme
BULLPADEL ELITE W 24,Out of stock,42,159.95,277.95,https://www.padelnuestro.com/int/bullpadel-elite-w-24-110859-p,Clickme
BULLPADEL FLOW TF 24,Out of stock,39,181.95,300,https://www.padelnuestro.com/int/bullpadel-flow-tf-24,Clickme
