name,badge,discount,old_price,price,product_url,category,brand
Bullpadel Vertex 03 CMF Xseries 494314 (SMU),,36,219.95,139.95,https://www.padelnuestro.com/int/pala-bullpadel-vertex-03-cmf-xseries-494314-smu,padel-rackets,Bullpadel
BULLPADEL VERTEX 04 25,,23,309.95,239.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-25-113772-p,padel-rackets,Bullpadel
BULLPADEL VERTEX 04 HYBRID 25,,26,309.95,229.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-hybrid-25-113773-p,padel-rackets,Bullpadel
BULLPADEL VERTEX 04,,43,299.95,169.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-110865-p,padel-rackets,Bullpadel
BULLPADEL NEURON 25,,22,289.95,224.95,https://www.padelnuestro.com/int/bullpadel-neuron-25-113768-p,padel-rackets,Bullpadel
BULLPADEL NEURON CLOUD 2025,,19,277.95,224.95,https://www.padelnuestro.com/int/bullpadel-neuron-cloud-2025,padel-rackets,Bullpadel
BULLPADEL NEURON PREMIER 2025,,20,314.95,251.95,https://www.padelnuestro.com/int/bullpadel-neuron-premier-2025,padel-rackets,Bullpadel
BULLPADEL NEURON,,48,269.95,139.95,https://www.padelnuestro.com/int/bullpadel-neuron-110864-p,padel-rackets,Bullpadel
BULLPADEL VERTEX 04 25 WOMEN'S,,22,244.95,189.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-25-women-s-113774-p,padel-rackets,Bullpadel
BULLPADEL PEARL BEA GONZALEZ 2024,,23,272.95,209.95,https://www.padelnuestro.com/int/bullpadel-pearl-bea-gonzalez-2024-112922-p,padel-rackets,Bullpadel
BULLPADEL PEARL CLOUD 2025,,19,277.95,224.95,https://www.padelnuestro.com/int/bullpadel-pearl-cloud-2025,padel-rackets,Bullpadel
BULLPADEL ICON 2025,,30,299.95,209.95,https://www.padelnuestro.com/int/bullpadel-icon-2025,padel-rackets,Bullpadel
BULLPADEL ICON CLOUD 2025,,19,277.95,224.95,https://www.padelnuestro.com/int/bullpadel-icon-cloud-2025,padel-rackets,Bullpadel
BULLPADEL HACK JUNIOR 2023,,44,89.95,49.95,https://www.padelnuestro.com/int/bullpadel-hack-junior-2023-32440-p,padel-rackets,Bullpadel
BULLPADEL VERTEX W JR 2025,,24,89.95,67.95,https://www.padelnuestro.com/int/bullpadel-vertex-w-jr-2025,padel-rackets,Bullpadel
BULLPADEL HACK 03 24 - PAQUITO NAVARRO,,48,289.95,149.95,https://www.padelnuestro.com/int/bullpadel-hack-03-24-110861-p,padel-rackets,Bullpadel
BULLPADEL HACK 03 COMFORT 24,,45,219.95,119.95,https://www.padelnuestro.com/int/bullpadel-hack-03-comfort-24-110862-p,padel-rackets,Bullpadel
BULLPADEL VERTEX 04 HYBRID,,43,299.95,169.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-hybrid-110867-p,padel-rackets,Bullpadel
BULLPADEL IONIC CONTROL 2025,,25,179.95,134.95,https://www.padelnuestro.com/int/bullpadel-ionic-control-2025,padel-rackets,Bullpadel
BULLPADEL RAIDER POWER BLUE,,50,99.95,49.95,https://www.padelnuestro.com/int/bullpadel-raider-power-blue-26104-p,padel-rackets,Bullpadel
BULLPADEL INDIGA PWR 2024,,38,79.95,49.95,https://www.padelnuestro.com/int/bullpadel-indiga-pwr-2024-32437-p,padel-rackets,Bullpadel
BULLPADEL AXYM DB 2022,,61,179.95,69.95,https://www.padelnuestro.com/int/bullpadel-axym-db-2022-26116-p,padel-rackets,Bullpadel
BULLPADEL VERTEX 03 COMFORT 2023,,55,244.95,109.95,https://www.padelnuestro.com/int/bullpadel-vertex-03-comfort-2023-32426-p,padel-rackets,Bullpadel
BULLPADEL VERTEX 04 COMFORT,,43,219.95,124.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-comfort-110866-p,padel-rackets,Bullpadel
BULLPADEL VERTEX 04 JR 2025,,24,89.95,67.95,https://www.padelnuestro.com/int/bullpadel-vertex-04-jr-2025,padel-rackets,Bullpadel
BULLPADEL BP10 EVO 2025,,25,119.95,89.95,https://www.padelnuestro.com/int/bullpadel-bp10-evo-2025,padel-rackets,Bullpadel
BULLPADEL K2 POWER 2025,,25,99.95,74.95,https://www.padelnuestro.com/int/bullpadel-k2-power-2025,padel-rackets,Bullpadel
BULLPADEL IONIC POWER 2025,,25,179.95,134.95,https://www.padelnuestro.com/int/bullpadel-ionic-power-2025,padel-rackets,Bullpadel
BULLPADEL INDIGA W 2025 WOMEN'S,,19,79.94,64.95,https://www.padelnuestro.com/int/bullpadel-indiga-w-2025-women-s,padel-rackets,Bullpadel
BULLPADEL HACK JUNIOR 2025,,28,89.95,64.95,https://www.padelnuestro.com/int/bullpadel-hack-junior-2025,padel-rackets,Bullpadel
BULLPADEL FLOW LIGHT 2025,,28,124.94,89.95,https://www.padelnuestro.com/int/bullpadel-flow-light-2025,padel-rackets,Bullpadel
BULLPADEL VERTEX BOY JUNIOR 2023,,44,89.99,49.95,https://www.padelnuestro.com/int/bullpadel-vertex-boy-junior-2023-32441-p,padel-rackets,Bullpadel
BULLPADEL ELITE LIGHT W WOMEN 2023,,59,184.95,74.95,https://www.padelnuestro.com/int/bullpadel-elite-light-w-women-2023-32433-p,padel-rackets,Bullpadel
BULLPADEL IONIC CONTROL 2023,,55,219.95,99.95,https://www.padelnuestro.com/int/bullpadel-ionic-control-2023-32431-p,padel-rackets,Bullpadel
BULLPADEL ELITE W 25 WOMEN'S,,23,272.95,209.95,https://www.padelnuestro.com/int/bullpadel-elite-w-25-women-s-113751-p,padel-rackets,Bullpadel
BULLPADEL FLOW 25 WOMAN,,22,244.95,189.95,https://www.padelnuestro.com/int/bullpadel-flow-25-woman-113753-p,padel-rackets,Bullpadel
BULLPADEL FLOW LIGHT WOMAN 2023,Out of stock,63,124.95,45.95,https://www.padelnuestro.com/int/bullpadel-flow-light-woman-2023-32436-p,padel-rackets,Bullpadel
Bullpadel Hack 03 Comfort 23,Out of stock,59,244.95,99.95,https://www.padelnuestro.com/int/bullpadel-hack-03-comfort-23-32423-p,padel-rackets,Bullpadel
BULLPADEL HACK 03 CONTROL 2022,Out of stock,65,324.95,114.95,https://www.padelnuestro.com/int/bullpadel-hack-03-control-2022-26107-p,padel-rackets,Bullpadel
