name,badge,discount,price,old_price,product_url,product_link,image_url,image_link
ADIDAS XTREME BLACK LIMA,Out of stock,0,5995.0,21995.0,https://www.padelnuestro.com/int/adidas-xtreme-black-lima-31634-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-xtreme-black-lima-31634-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS X-TREME BLACK PINK,Out of stock,0,5995.0,21995.0,https://www.padelnuestro.com/int/adidas-x-treme-black-pink-29999-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-x-treme-black-pink-29999-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS X-TREME PINK PADEL RACKET,Out of stock,0,5995.0,21995.0,https://www.padelnuestro.com/int/adidas-x-treme-pink-padel-racket-29998-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-x-treme-pink-padel-racket-29998-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS ADIPOWER MULTIWEIGHT MASTER LTD 2023,Out of stock,0,23995.0,44995.0,https://www.padelnuestro.com/int/adidas-adipower-multiweight-master-ltd-2023-108775-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-adipower-multiweight-master-ltd-2023-108775-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS RX CARBON 2023,Out of stock,0,9995.0,17995.0,https://www.padelnuestro.com/int/catalog/product/view/id/5374/s/adidas-rx-carbon-2023-32313-p/category/26/,"=HYPERLINK(""https://www.padelnuestro.com/int/catalog/product/view/id/5374/s/adidas-rx-carbon-2023-32313-p/category/26/"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS METALBONE CTRL 3.2 2023,Out of stock,0,14995.0,37995.0,https://www.padelnuestro.com/int/adidas-metalbone-ctrl-3-2-2023-32300-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-metalbone-ctrl-3-2-2023-32300-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS RX 2000 LIGHT 2023,Out of stock,0,6495.0,12995.0,https://www.padelnuestro.com/int/catalog/product/view/id/5376/s/adidas-rx-2000-light-2023-32315-p/category/26/,"=HYPERLINK(""https://www.padelnuestro.com/int/catalog/product/view/id/5376/s/adidas-rx-2000-light-2023-32315-p/category/26/"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS ADIPOWER JUNIOR 3.4 2024,Out of stock,0,7495.0,7500.0,https://www.padelnuestro.com/int/adidas-adipower-junior-3-4-2024,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-adipower-junior-3-4-2024"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS CROSS IT,Out of stock,0,13995.0,34995.0,https://www.padelnuestro.com/int/adidas-cross-it-110132-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-cross-it-110132-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS METALBONE YOUTH 3.3 2024,Out of stock,0,6995.0,11495.0,https://www.padelnuestro.com/int/adidas-metalbone-youth-3-3-2024-110148-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-metalbone-youth-3-3-2024-110148-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS GREENPADEL RK1CC7U15 GREEN,Out of stock,0,9995.0,21000.0,https://www.padelnuestro.com/int/adidas-greenpadel-rk1cc7u15-green,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-greenpadel-rk1cc7u15-green"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
ADIDAS ADIPOWER LIGHT 3.3,Out of stock,0,12995.0,21995.0,https://www.padelnuestro.com/int/adidas-adipower-light-3-3-110128-p,"=HYPERLINK(""https://www.padelnuestro.com/int/adidas-adipower-light-3-3-110128-p"",""View"")","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=","=HYPERLINK(""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII="",""Img"")"
