name,badge,discount,old_price,price,product_url,brand
Babolat Evo Drive Lite Racket White 2025,New,,,143.89,https://www.tenniswarehouse-europe.com/Babolat_Evo_Drive_Lite_Racket_White_2025/descpageRCQBA-BELWR-EN.html,Babolat
Babolat Evo Drive Lite Racket 2025,New,,,143.89,https://www.tenniswarehouse-europe.com/Babolat_Evo_Drive_Lite_Racket_2025/descpageRCQBA-BEDLR-EN.html,Babolat
Babolat Evo Drive Racket 2025,New,,,135.9,https://www.tenniswarehouse-europe.com/Babolat_Evo_Drive_Racket_2025/descpageRCQBA-BEDR-EN.html,Babolat
Babolat Evo Drive 115 Racket Wimbledon (Pre Strung),Sale,31,189.95,129.9,https://www.tenniswarehouse-europe.com/Babolat_Evo_Drive_115_Racket_Wimbledon_Pre_Strung/descpageRCQBA-BBEVW-EN.html,Babolat
Babolat Evo Aero 2022 Racket,Sale,26,169.95,124.91,https://www.tenniswarehouse-europe.com/Babolat_Evo_Aero_2022_Racket/descpageRCQBA-BEAR-EN.html,Babolat
Babolat Evo Aero Pink 2022 Racket,Sale,18,169.95,137.9,https://www.tenniswarehouse-europe.com/Babolat_Evo_Aero_Pink_2022_Racket/descpageRCQBA-BEARP-EN.html,Babolat
Babolat Evo Aero Lite 2022 Racket,Sale,25,159.95,119.9,https://www.tenniswarehouse-europe.com/Babolat_Evo_Aero_Lite_2022_Racket/descpageRCQBA-BEARL-EN.html,Babolat
Babolat Evo Aero Lite Pink 2022 Racket,Sale,25,159.95,118.9,https://www.tenniswarehouse-europe.com/Babolat_Evo_Aero_Lite_Pink_2022_Racket/descpageRCQBA-BEARLP-EN.html,Babolat
Babolat Evo Drive Tour Racket (285g),Sale,26,169.95,124.91,https://www.tenniswarehouse-europe.com/Babolat_Evo_Drive_Tour_Racket_285g/descpageRCQBA-BREDT-EN.html,Babolat
Babolat Evo Drive Racket (270g),Sale,25,159.95,119.9,https://www.tenniswarehouse-europe.com/Babolat_Evo_Drive_Racket_270g/descpageRCQBA-BRED-EN.html,Babolat
Babolat Evo Drive Racket White/Blue (270g),Sale,25,159.95,119.9,https://www.tenniswarehouse-europe.com/Babolat_Evo_Drive_Racket_White_Blue_270g/descpageRCQBA-BREDW-EN.html,Babolat
Babolat Evo Drive Lite Racket White/Blue (255g),Sale,24,149.95,112.9,https://www.tenniswarehouse-europe.com/Babolat_Evo_Drive_Lite_Racket_White_Blue_255g/descpageRCQBA-BRELW-EN.html,Babolat
Babolat Boost Drive W Racket 2025,Reduced,31,109.95,74.9,https://www.tenniswarehouse-europe.com/Babolat_Boost_Drive_W_Racket_2025/descpageRCQBA-BBDWR-EN.html,Babolat
Babolat Boost Drive Racket 2025,Reduced,31,,74.9,https://www.tenniswarehouse-europe.com/Babolat_Boost_Drive_Racket_2025_____/descpageRCQBA-BBSTDR-EN.html,Babolat
Babolat Boost Aero Pink Racket (Pre Strung),Sale,20,109.95,86.89,https://www.tenniswarehouse-europe.com/Babolat_Boost_Aero_Pink_Racket_Pre_Strung/descpageRCQBA-BABOAP-EN.html,Babolat
"Babolat Pure Drive 26"" Junior Racket 2025",New,,,95.9,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_26_Junior/descpageRCQBA-BPJ26R-EN.html,Babolat
"Babolat Pure Drive 26"" Jr Light Blue Racket 2025",New,,,95.9,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_26_Jr_Light_Blue_Racket_2025/descpageRCQBA-PDJ26R-EN.html,Babolat
"Babolat Pure Strike 26"" Junior Racket",Sale,25,119.95,89.9,https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_26_Junior_Racket/descpageRCQBA-PS26J-EN.html,Babolat
"Babolat Pure Aero 26"" Junior Racket",Reduced,7,129.95,119.9,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_26_Junior_Racket/descpageRCQBA-BAJ26R-EN.html,Babolat
"Babolat Nadal Junior 26"" Racket",,,49.95,44.9,https://www.tenniswarehouse-europe.com/Babolat_Nadal_Junior_26_Racket/descpageRCQBA-NAJ26B-EN.html,Babolat
Babolat Drive Junior 24 Racket 2025,New,,64.95,64.95,https://www.tenniswarehouse-europe.com/Babolat_Drive_Junior_24_Racket_2025/descpageRCQBA-BDJ24R-EN.html,Babolat
Babolat Drive Junior 25 Racket 2025,New,,69.95,62.91,https://www.tenniswarehouse-europe.com/Babolat_Drive_Junior_25_Racket_2025/descpageRCQBA-BDJ25R-EN.html,Babolat
Babolat Drive Junior 25 Red Racket 2025,New,,69.95,69.95,https://www.tenniswarehouse-europe.com/Babolat_Drive_Junior_25_Red_Racket_2025/descpageRCQBA-BD25RR-EN.html,Babolat
"Babolat Pure Drive 25"" Junior L/B Racket 2025",New,,,87.92,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_25_Junior_L_B_Racket_2025/descpageRCQBA-BJPD25-EN.html,Babolat
"Babolat Pure Aero Junior 25"" Racket",Sale,15,129.95,109.9,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Junior_25_Racket/descpageRCQBA-BPAJ25R-EN.html,Babolat
"Babolat Pure Drive 25"" Junior Racket",Sale,25,119.95,89.9,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_25_Junior_Racket/descpageRCQBA-PDJR25-EN.html,Babolat
Babolat Ballfighter 25'' Junior Racket,Reduced,20,34.95,27.89,https://www.tenniswarehouse-europe.com/Babolat_Ballfighter_25_Junior_Racket/descpageRCQBA-BB25R-EN.html,Babolat
"Babolat Nadal Junior 25"" Racket",,,49.95,44.9,https://www.tenniswarehouse-europe.com/Babolat_Nadal_Junior_25_Racket/descpageRCQBA-NAJ25B-EN.html,Babolat
Babolat Drive Junior 23 Racket 2025,New,,,53.9,https://www.tenniswarehouse-europe.com/Babolat_Drive_Junior_23_Racket_2025/descpageRCQBA-BDJ23R-EN.html,Babolat
Babolat Drive Junior 23 W Racket 2025,New,,,59.95,https://www.tenniswarehouse-europe.com/Babolat_Drive_Junior_23_W_Racket_2025/descpageRCQBA-BDJ23W-EN.html,Babolat
